0.0000000000E+00 0.3736716844E+00 -.8896231569E-01 0.4000000000E+01 0.1734723476E-17
0.1000000000E-03 0.3736842618E+00 -.8896211605E-01 0.3999900350E+01 0.2372377827E-04
0.2000000000E-03 0.3736968405E+00 -.8896191630E-01 0.3999800691E+01 0.4744842804E-04
0.3000000000E-03 0.3737094207E+00 -.8896171645E-01 0.3999701024E+01 0.7117394934E-04
0.4000000000E-03 0.3737220024E+00 -.8896151649E-01 0.3999601348E+01 0.9490034219E-04
0.5000000000E-03 0.3737345854E+00 -.8896131644E-01 0.3999501663E+01 0.1186276066E-03
0.6000000000E-03 0.3737471700E+00 -.8896111627E-01 0.3999401970E+01 0.1423557426E-03
0.7000000000E-03 0.3737597559E+00 -.8896091600E-01 0.3999302268E+01 0.1660847502E-03
0.8000000000E-03 0.3737723433E+00 -.8896071563E-01 0.3999202557E+01 0.1898146295E-03
0.9000000000E-03 0.3737849321E+00 -.8896051515E-01 0.3999102838E+01 0.2135453804E-03
0.1000000000E-02 0.3737975224E+00 -.8896031457E-01 0.3999003110E+01 0.2372770030E-03
0.1100000000E-02 0.3738101141E+00 -.8896011388E-01 0.3998903373E+01 0.2610094973E-03
0.1200000000E-02 0.3738227072E+00 -.8895991309E-01 0.3998803628E+01 0.2847428633E-03
0.1300000000E-02 0.3738353018E+00 -.8895971220E-01 0.3998703874E+01 0.3084771010E-03
0.1400000000E-02 0.3738478978E+00 -.8895951119E-01 0.3998604111E+01 0.3322122105E-03
0.1500000000E-02 0.3738604952E+00 -.8895931009E-01 0.3998504340E+01 0.3559481918E-03
0.1600000000E-02 0.3738730941E+00 -.8895910888E-01 0.3998404560E+01 0.3796850449E-03
0.1700000000E-02 0.3738856945E+00 -.8895890756E-01 0.3998304771E+01 0.4034227698E-03
0.1800000000E-02 0.3738982962E+00 -.8895870614E-01 0.3998204974E+01 0.4271613665E-03
0.1900000000E-02 0.3739108994E+00 -.8895850462E-01 0.3998105168E+01 0.4509008351E-03
0.2000000000E-02 0.3739235041E+00 -.8895830299E-01 0.3998005354E+01 0.4746411756E-03
0.2100000000E-02 0.3739361102E+00 -.8895810126E-01 0.3997905530E+01 0.4983823880E-03
0.2200000000E-02 0.3739487177E+00 -.8895789942E-01 0.3997805698E+01 0.5221244723E-03
0.2300000000E-02 0.3739613267E+00 -.8895769747E-01 0.3997705858E+01 0.5458674285E-03
0.2400000000E-02 0.3739739371E+00 -.8895749542E-01 0.3997606008E+01 0.5696112567E-03
0.2500000000E-02 0.3739865490E+00 -.8895729327E-01 0.3997506150E+01 0.5933559569E-03
0.2600000000E-02 0.3739991623E+00 -.8895709101E-01 0.3997406283E+01 0.6171015291E-03
0.2700000000E-02 0.3740117770E+00 -.8895688865E-01 0.3997306408E+01 0.6408479733E-03
0.2800000000E-02 0.3740243932E+00 -.8895668618E-01 0.3997206524E+01 0.6645952895E-03
0.2900000000E-02 0.3740370108E+00 -.8895648360E-01 0.3997106631E+01 0.6883434778E-03
0.3000000000E-02 0.3740496299E+00 -.8895628092E-01 0.3997006730E+01 0.7120925381E-03
0.3100000000E-02 0.3740622504E+00 -.8895607814E-01 0.3996906819E+01 0.7358424706E-03
0.3200000000E-02 0.3740748723E+00 -.8895587525E-01 0.3996806901E+01 0.7595932752E-03
0.3300000000E-02 0.3740874957E+00 -.8895567226E-01 0.3996706973E+01 0.7833449519E-03
0.3400000000E-02 0.3741001206E+00 -.8895546916E-01 0.3996607037E+01 0.8070975007E-03
0.3500000000E-02 0.3741127469E+00 -.8895526595E-01 0.3996507092E+01 0.8308509217E-03
0.3600000000E-02 0.3741253746E+00 -.8895506264E-01 0.3996407138E+01 0.8546052200E-03
0.3700000000E-02 0.3741380038E+00 -.8895485922E-01 0.3996307176E+01 0.8783603860E-03
0.3800000000E-02 0.3741506344E+00 -.8895465570E-01 0.3996207205E+01 0.9021164243E-03
0.3900000000E-02 0.3741632665E+00 -.8895445208E-01 0.3996107225E+01 0.9258733349E-03
0.4000000000E-02 0.3741759000E+00 -.8895424834E-01 0.3996007236E+01 0.9496311178E-03
0.4100000000E-02 0.3741885350E+00 -.8895404451E-01 0.3995907239E+01 0.9733897731E-03
0.4200000000E-02 0.3742011714E+00 -.8895384056E-01 0.3995807233E+01 0.9971493007E-03
0.4300000000E-02 0.3742138092E+00 -.8895363652E-01 0.3995707219E+01 0.1020909701E-02
0.4400000000E-02 0.3742264485E+00 -.8895343236E-01 0.3995607195E+01 0.1044670973E-02
0.4500000000E-02 0.3742390893E+00 -.8895322810E-01 0.3995507163E+01 0.1068433118E-02
0.4600000000E-02 0.3742517315E+00 -.8895302374E-01 0.3995407123E+01 0.1092196135E-02
0.4700000000E-02 0.3742643751E+00 -.8895281927E-01 0.3995307073E+01 0.1115960025E-02
0.4800000000E-02 0.3742770202E+00 -.8895261469E-01 0.3995207015E+01 0.1139724787E-02
0.4900000000E-02 0.3742896668E+00 -.8895241001E-01 0.3995106948E+01 0.1163490422E-02
0.5000000000E-02 0.3743023148E+00 -.8895220522E-01 0.3995006872E+01 0.1187256929E-02
0.5100000000E-02 0.3743149642E+00 -.8895200033E-01 0.3994906788E+01 0.1211024309E-02
0.5200000000E-02 0.3743276151E+00 -.8895179533E-01 0.3994806695E+01 0.1234792561E-02
0.5300000000E-02 0.3743402675E+00 -.8895159023E-01 0.3994706593E+01 0.1258561686E-02
0.5400000000E-02 0.3743529213E+00 -.8895138502E-01 0.3994606483E+01 0.1282331684E-02
0.5500000000E-02 0.3743655765E+00 -.8895117970E-01 0.3994506363E+01 0.1306102554E-02
0.5600000000E-02 0.3743782332E+00 -.8895097428E-01 0.3994406235E+01 0.1329874297E-02
0.5700000000E-02 0.3743908913E+00 -.8895076875E-01 0.3994306099E+01 0.1353646913E-02
0.5800000000E-02 0.3744035509E+00 -.8895056312E-01 0.3994205953E+01 0.1377420401E-02
0.5900000000E-02 0.3744162120E+00 -.8895035738E-01 0.3994105799E+01 0.1401194762E-02
0.6000000000E-02 0.3744288745E+00 -.8895015154E-01 0.3994005636E+01 0.1424969995E-02
0.6100000000E-02 0.3744415384E+00 -.8894994559E-01 0.3993905464E+01 0.1448746102E-02
0.6200000000E-02 0.3744542038E+00 -.8894973953E-01 0.3993805284E+01 0.1472523081E-02
0.6300000000E-02 0.3744668707E+00 -.8894953337E-01 0.3993705095E+01 0.1496300933E-02
